rank	   KS	accession	description
5472	609	L43366_at	GB DEF = (clone jj1b) cadherin mRNA fragment
5473	609	M60331_at	PRM1 Protamine 1
5474	609	U31973_s_at	Phosphodiesterase A' subunit (PDE6C) mRNA
5475	609	U55258_at	GB DEF = HBRAVO/Nr-CAM precursor (hBRAVO/Nr-CAM) gene
5476	609	D28791_at	"PIGA Phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)"
5477	609	U32324_at	Interleukin 11 receptor isoform (incomplete)
5478	609	Y10262_s_at	GB DEF = EYA3 gene
5479	609	HG2358-HT4858_s_at	"Proto-Oncogene Ets-1, Alt. Splice 2"
5480	609	S78296_at	"Neurofilament-66 [human, fetal brain, mRNA, 3197 nt]"
5481	609	U46752_at	"Phosphotyrosine independent ligand p62B B-cell isoform for the Lck SH2 domain mRNA, partial cds"
5482	609	U35459_at	GB DEF = Bomapin mRNA
5483	609	X14690_s_at	Inter-alpha-trypsin inhibitor heavy chain H3
5484	609	S73205_at	"GB DEF = Insulin activator factor [human, pancreatic insulinoma, mRNA Partial, 2622 nt]"
5485	609	X96753_at	Melanoma-associated chondroitin sulfate proteoglycan (MCSP)
5486	609	M74091_at	Cyclin mRNA
5487	609	U20816_s_at	"GB DEF = Nuclear factor kappa-B2 (NF-KB2) gene, partial cds"
5488	609	M55513_s_at	"KCNA5 Potassium voltage-gated channel, shaker-related subfamily, member 5"
5489	609	X78121_at	CHM Choroideremia
5490	609	X69090_at	Skeletal muscle 190kD protein
5491	609	X52896_s_at	GB DEF = RNA for dermal fibroblast elastin
5492	609	X97674_at	GB DEF = Transcriptional intermediary factor 2
5493	609	M84820_s_at	RETINOIC ACID RECEPTOR RXR-BETA
5494	609	S75256_s_at	"GB DEF = HNL=neutrophil lipocalin [human, ovarian cancer cell line OC6, mRNA Partial, 534 nt]"
5495	609	K03192_f_at	"CYP2A6 Cytochrome P450, subfamily IIA (phenobarbital-inducible), polypeptide 6"
5496	609	U35735_at	RACH1 (RACH1) mRNA
5497	609	L27213_s_at	Anion exchange protein mRNA
5498	609	M60052_at	HRC Histidine-rich calcium binding protein
5499	609	M65062_at	IGFBP5 Insulin-like growth factor binding protein 5
5500	609	M16714_at	HLA-E MHC class I antigen HLA-E
5501	609	L36847_at	GB DEF = (clone p17/90) rearranged iduronate-2-sulphatase homologue gene
5502	609	U29943_s_at	ELAV-like neuronal protein-2 Hel-N2 mRNA
5503	609	U79256_at	Clone 23719 mRNA sequence
5504	609	D64053_at	Protein-tyrosine phosphatase
5505	609	D32002_s_at	"NCBP Nuclear cap binding protein, 80kD"
5506	609	U57911_at	"Fetal brain (239FB) mRNA, from the WAGR region"
5507	609	U57623_s_at	"FATTY ACID-BINDING PROTEIN, HEART"
5508	609	U61262_at	NEO1 Neogenin (chicken) homolog 1
5509	609	X62822_at	"SIAT1 Sialyltransferase 1 (beta-galactoside alpha-2,6-sialytransferase)"
5510	609	L42452_at	Pyruvate dehydrogenase kinase isoenzyme 3 (PDK3) mRNA
5511	609	HG4316-HT4586_at	Transketolase-Like Protein
5512	609	X65977_at	"DEFA4 Defensin, alpha 4, corticostatin "
5513	609	M92303_at	"DIHYDROPRYRIDINE-SENSITIVE L-TYPE, CALCIUM CHANNEL BETA-1-B1 SUBUNIT"
5514	609	HG2600-HT2696_at	"Guanine Nucleotide-Binding Protein Rap2b, Ras-Oncogene Related"
5515	609	HG3859-HT4129_at	Mage-4a Antigen
5516	609	U16120_s_at	"SLC6A6 Solute carrier family 6 (neurotransmitter transporter, taurine), member 6"
5517	609	U26726_at	11 beta-hydroxysteroid dehydrogenase type II mRNA
5518	609	S62028_s_at	RCV1 Recoverin
5519	609	M13686_s_at	PULMONARY SURFACTANT-ASSOCIATED PROTEIN A PRECURSOR
5520	609	U20536_s_at	Cysteine protease Mch2 isoform alpha (Mch2) mRNA
5521	609	X52192_at	FES Feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog
5522	609	U29615_at	Chitotriosidase precursor mRNA
5523	609	M60626_at	FPR1 Formyl peptide receptor 1
5524	609	Y10571_at	GB DEF = DinG gene
5525	609	U89336_cds7_at	"Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence"
5526	609	D83699_at	"Brain 3'UTR of mRNA for neuronal death protein, partial sequence"
5527	609	K01383_at	"GB DEF = Metallothionein-I-A gene, complete coding sequence"
5528	609	D14678_at	"Kinesin-related protein, partial cds"
5529	609	U13219_at	Forkhead protein FREAC-1 mRNA
5530	609	Z18956_at	"SLC6A6 Solute carrier family 6 (neurotransmitter transporter, taurine), member 6"
5531	609	X05309_at	"CR1 Complement component (3b/4b) receptor 1, including Knops blood group system"
5532	609	HG2261-HT2351_s_at	"Antigen, Prostate Specific, Alt. Splice Form 2"
5533	609	M77810_at	GATA2 GATA-binding protein 2
5534	609	U53174_at	"PPP1CA Protein phosphatase 1, catalytic subunit, alpha isoform"
5535	609	X57830_at	Serotonin 5-HT2 receptor mRNA
5536	609	U20938_at	Lymphocyte dihydropyrimidine dehydrogenase mRNA
5537	609	M31241_s_at	"GB DEF = Complement receptor 1 (CR1) gene, exon 4"
5538	609	L12060_s_at	"RARG Retinoic acid receptor, gamma 1"
5539	609	X76059_at	YRRM1
5540	609	U67614_at	No cluster in current Unigene and no Genbank entry for U67614 (qualifier U67614_at)
5541	609	L39211_at	Mitochondrial carnitine palmitoyltransferase I mRNA
5542	609	M68895_rna1_at	Alcohol dehydrogenase 6 gene
5543	609	U62317_rna6_at	Hypothetical protein 384D8_6 gene extracted from Chromosome 22q13 BAC Clone CIT987SK-384D8 complete sequence
5544	609	D26443_at	EXCITATORY AMINO ACID TRANSPORTER 1
5545	609	D78367_at	K12 keratin
5546	609	M77142_at	NUCLEOLYSIN TIA-1
5547	609	U12424_s_at	GPD2 Glycerol-3-phosphate dehydrogenase 2 (mitochondrial)
5548	609	S66427_at	RBBP1 Retinoblastoma-binding protein 1{alternative products}
5549	609	U60206_s_at	Stress responsive serine/threonine protein kinase Krs-1 mRNA
5550	609	HG3703-HT3915_s_at	"Udp-Glucuronosyltransferase 1 Family, Polypeptide 1, Alt. Splice 1"
5551	609	U31799_at	PMEL 17 PROTEIN PRECURSOR
5552	609	AB000816_s_at	"GB DEF = BMAL1d, partial cds"
5553	609	HG2264-HT2360_at	"Atpase, Ca2+ Transporting, Plasma Membrane 1, Alt. Splice 6"
5554	609	U39412_at	Platelet alpha SNAP mRNA
5555	609	U50839_at	"G16 protein (g16) mRNA, partial cds"
5556	609	M57230_at	GB DEF = Membrane glycoprotein gp130 mRNA
5557	609	L22569_at	CTSB Cathepsin B
5558	609	HG3893-HT4163_at	"Phosphoglucomutase 1, Alt. Splice"
5559	609	M25629_at	"GB DEF = Kallikrein mRNA, clone clone phKK25"
5560	609	J03133_at	SP1 Sp1 transcription factor
5561	609	J05500_at	"SPTB Spectrin, beta, erythrocytic (includes sperocytosis, clinical type I)"
5562	609	D16626_at	HAL Histidine ammonia-lyase
5563	609	U03905_at	Monocyte chemoattractant protein 1 receptor (MCP-1RA) alternatively spliced mRNA
5564	609	M33478_at	PHOSDUCIN
5565	609	HG3936-HT4206_at	Interleukin 9 Receptor (Gb:S71404)
5566	609	HG3238-HT4861_s_at	"Prostaglandin Ep3 Receptor, Alt. Splice 8"
5567	609	X16323_at	HGF Hepatocyte growth factor (hepapoietin A; scatter factor)
5568	609	D88460_at	GB DEF = N-WASP
5569	609	M13699_at	CP Ceruloplasmin (ferroxidase)
5570	609	X92493_s_at	STM-7 protein
5571	609	U43899_at	Signal transducing adaptor molecule STAM mRNA
5572	609	AC000115_cds1_at	WUGSC:H_GS188P18.1a gene extracted from Human BAC clone GS188P18
5573	609	L10377_s_at	GB DEF = (clone CTG-B37) mRNA sequence
5574	609	U83600_at	"GB DEF = Death domain receptor 3 (DDR3) mRNA, alternatively spliced form 2, partial cds"
5575	609	M63256_at	CDR2 Cerebellar degeneration-related protein (62kD)
5576	609	AFFX-HSAC07/X00351_M_st	AFFX-HSAC07/X00351_M_st (endogenous control)
5577	609	M21188_at	INSULIN-DEGRADING ENZYME
5578	609	U22398_at	Cdk-inhibitor p57KIP2 (KIP2) mRNA
5579	609	M15465_s_at	"PKLR Pyruvate kinase, liver"
5580	609	U28251_cds2_at	"Krueppel-type zinc finger protein (ZNF169) gene, partial cds"
5581	609	AC000061_cds2_at	WUGSC:H_133K23.1c gene extracted from Human BAC clone 133K23 from 7q31.2
5582	609	M91368_s_at	Na+/Ca+ exchanger (CNC) mRNA
5583	609	X78712_at	GKP2 Glycerol kinase 2 (testis specific)
5584	609	M20543_at	"ACTA1 Actin, alpha 1, skeletal muscle"
5585	609	L32831_s_at	PROBABLE G PROTEIN-COUPLED RECEPTOR GPR3
5586	609	U28043_at	GB DEF = Plasma membrane Na+/H+ exchanger isoform 3 (NHE3) mRNA
5587	609	X97671_at	EPOR Erythropoietin receptor
5588	609	Y09943_s_at	BTG2 (BTG2) mRNA
5589	609	X52221_at	"GB DEF = ERCC2 gene, exons 1 & 2 (partial)"
5590	609	X78549_at	Brk mRNA for tyrosine kinase
5591	609	M73482_at	NMBR Neuromedin B receptor
5592	609	M63904_at	"GNA15 Guanine nucleotide binding protein (G protein), alpha 15 (Gq class)"
5593	609	M55671_at	VITAMIN K-DEPENDENT PROTEIN Z PRECURSOR
5594	609	D89377_s_at	Adult tooth pulp of third molar fibroblast mRNA for MSX-2
5595	609	M91438_at	GB DEF = Kazal-type serine proteinase (HUSI-II) gene
5596	609	L41816_at	Cam kinase I mRNA
5597	609	X69950_s_at	WT1 Wilms tumor 1
5598	609	U13369_at	GB DEF = Ribosomal DNA complete repeating unit
5599	609	Z49995_at	mRNA (non-coding; clone h2A)
5600	609	L36844_at	GB DEF = (clone p15INK4B/HA5) CDK inhibitory protein mRNA
5601	609	U03274_at	BTD Biotinidase
5602	609	U90547_at	Ro/SSA ribonucleoprotein homolog (RoRet) mRNA
5603	609	U16258_at	40S RIBOSOMAL PROTEIN S7
5604	609	U48231_at	Bradykinin receptor B1 subtype mRNA
5605	609	M10058_at	ASGR1 Asialoglycoprotein receptor 1
5606	609	X63597_at	SI Sucrase-isomaltase
5607	609	D42039_at	"KIAA0081 gene, partial cds"
5608	609	U79253_at	Clone 23893 mRNA
5609	609	D88213_at	Retina-specific amine oxidase
5610	609	U43519_at	DRP2 Dystrophin related protein 2
5611	609	HG3942-HT4212_at	Interferon
5612	609	M87313_s_at	DM Dystrophia myotonica (includes dystrophia myotonia protein kinase)
5613	609	M87507_s_at	"IL1BC Interleukin 1, beta, convertase"
5614	609	X98248_rna1_at	Sortilin
5615	609	Y10506_at	GB DEF = CD110 protein
5616	609	L43821_at	Enhancer of filamentation (HEF1) mRNA
5617	609	X95715_at	Anthracycline resistance associated protein
5618	609	X79204_at	SCA1 Ataxin 1
5619	609	U70862_at	Nuclear factor I B3 mRNA
5620	609	Z49194_at	OBF-1 mRNA for octamer binding factor 1
5621	609	HG3162-HT3339_at	Transcription Factor Iia
5622	609	X91141_at	RABAPTIN-5 protein
5623	609	D86096_cds3_at	EP3-IV gene extracted from Human DNA for prostaglandin E receptor EP3 subtype
5624	609	U79246_at	Clone 23799 mRNA sequence
5625	609	X73608_at	Testican
5626	609	L26081_at	Semaphorin-III (Hsema-I) mRNA
5627	609	J05556_at	MMP8 Matrix metalloproteinase 8 (neutrophil collagenase)
5628	609	D49394_at	HTR3 5-hydroxytryptamine (serotonin) receptor 3
5629	609	U79290_at	Clone 23908 mRNA sequence
5630	609	U17418_at	PARATHYROID HORMONE/PARATHYROID HORMONE-RELATED PEPTIDE RECEPTOR PRECURSOR
5631	609	U79302_at	"Clone 23855 mRNA, partial cds"
5632	609	U31215_s_at	Metabotropic glutamate receptor 1 alpha (mGluR1alpha) mRNA
5633	609	M87789_s_at	"(hybridoma H210) anti-hepatitis A IgG variable region, constant region, complementarity-determining regions mRNA"
5634	609	J02986_cds1_at	FGF4 gene (transforming protein) extracted from Human transforming protein (hst) gene
5635	609	M26062_at	IL2RB Interleukin 2 receptor beta chain
5636	609	U82306_at	"GB DEF = Unknown protein mRNA, partial cds"
5637	609	Z46376_rna1_at	HK2 mRNA for hexokinase II
5638	609	HG1761-HT1778_s_at	Tyrosine Kinase Fer
5639	609	U50950_at	Infant brain unknown product mRNA
5640	609	L40636_at	(clone FBK III 16) protein tyrosine kinase (NET PTK) mRNA
5641	609	M73239_s_at	HGF Hepatocyte growth factor (hepapoietin A; scatter factor)
5642	609	D38037_at	FK-506 binding protein (fkbp12.6) gene
5643	609	Z11502_at	ANNEXIN XIII
5644	609	AFFX-M27830_3_at	AFFX-M27830_3_at (endogenous control)
5645	609	X04688_at	IL5 Interleukin 5 (T cell replacing factor)
5646	609	X62466_at	CDW52 CDW52 antigen (CAMPATH-1 antigen)
5647	609	U15172_at	Nip1 (NIP1) mRNA
5648	609	M22005_at	"GB DEF = Interleukin 2 gene, clone pATtacIL-2C/2TT, clone pATtacIL-2C/2TT"
5649	609	L02950_at	CRYM Crystallin Mu
5650	609	M60450_s_at	"KCNA4 Potassium voltage-gated channel, shaker-related subfamily, member 4"
5651	609	HG3548-HT3749_at	"Ccaat Displacement Protein, Cut Homolog, Alt. Splice 1"
5652	609	X89430_at	Methyl CpG binding protein 2
5653	609	L22206_at	AVPR2 Antidiuretic hormone receptor
5654	609	Z83804_at	"GB DEF = Axonemal dynein heavy chain (partial, ID hdhc7)"
5655	609	U64573_s_at	"GB DEF = Connexin43 gap junction protein (connexin43) gene, exon 1 and promoter region"
5656	609	X63575_s_at	GB DEF = Plasma membrane calcium ATPase
5657	609	U67611_at	Mouse transaldolase gene mRNA
5658	609	L42243_cds1_at	IFNAR2 gene (interferon receptor) extracted from Homo sapiens (clone Q-2OD3) interferon receptor (IFNAR2) gene
5659	609	HG3513-HT3707_at	"Myosin, Heavy Polypeptide, Light Meromyosin"
5660	609	M97925_rna1_at	Defensin 5 gene
5661	609	X53065_f_at	GB DEF = SPR2-1 gene for small proline rich protein (exon 2)
5662	609	HG2702-HT2798_r_at	Serine/Threonine Kinase (Gb:Z25424)
5663	609	AFFX-HSAC07/X00351_5_st	AFFX-HSAC07/X00351_5_st (endogenous control)
5664	609	X65962_s_at	"CYP2C17 Cytochrome P450, subfamily IIC (mephenytoin 4-hydroxylase), polypeptide 17"
5665	609	D79990_at	KIAA0168 gene
5666	609	U28488_s_at	Putative G protein-coupled receptor (AZ3B) mRNA
5667	609	U63542_at	"Putative FAP protein mRNA, partial cds"
5668	609	X17098_at	PSG6 Pregnancy-specific beta-1 glycoprotein 6
5669	609	U90543_s_at	Butyrophilin (BTF1) mRNA
5670	609	D26528_at	GB DEF = RNA helicase
5671	609	M11437_cds1_at	KNG gene (kininogen) extracted from Human kininogen gene
5672	609	J04810_s_at	MSH3 MutS (E. coli) homolog 3
5673	609	U77970_at	RPL27 Ribosomal protein L27
5674	609	U47007_at	Transcriptional repressor (NAB1) NAB1 mRNA
5675	609	X99133_at	NGAL gene
5676	609	X68505_s_at	GB DEF = Myocyte-specific enhancer factor 2 (MEF2)
5677	609	HG2525-HT2621_at	"Helix-Loop-Helix Protein Delta Max, Alt. Splice 1"
5678	609	L36861_at	Guanylate cyclase activating protein (GCAP) gene
5679	609	D21241_xpt1_s_at	"Ovary- and prostate-specific exon 1 from  Human cytochrome P-450 aromatase gene, multiple exons 1 and exon 2./ntype=DNA /annot=exon"
5680	609	X63759_at	TNP2 Transition protein 2 (during histone to protamine replacement)
5681	609	HG25930-HT26386_at	Estradiol 17-beta dehydrogenase 1
5682	609	U90268_at	Krit1 mRNA
5683	609	D82060_at	Kidney mRNA for putative membrane protein with histidine rich charge clusters
5684	609	M91196_at	ICSBP1 Interferon consensus sequence binding protein 1
5685	609	U37251_at	ZNF177 KRAB zinc finger protein {alternative products}
5686	609	D87328_at	HLCS Holocarboxylase synthetase (biotin-[proprionyl-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)
5687	609	D13897_rna2_at	Peptide YY precursor gene extracted from Human DNA for peptide YY
5688	609	M37763_at	GB DEF = Neurotrophin-3 (NT-3) gene
5689	609	U37529_at	"TAC2 Tachykinin 2 (substance K, neurokinin A, neurokinin 2, neuromedin L, neurokinin alpha, neuropeptide K, neuropeptide gamma)"
5690	609	D83782_at	"KIAA0199 gene, partial cds"
5691	609	S72503_s_at	HRK1
5692	609	U19718_at	MFAP2 Microfibrillar-associated protein 2
5693	609	U35246_at	Vacuolar protein sorting homolog h-vps45 mRNA
5694	609	HG2841-HT2969_s_at	"Albumin, Alt. Splice 3, Missplicing In Alloalbumin Venezia"
5695	609	M81379_at	"COL4A3 Collagen, type IV, alpha 3"
5696	609	HG274-HT274_s_at	Gamma-Glutamyltransferase 1 (Gb:J04131)
5697	609	M71243_f_at	"GB DEF = Glycophorin Sta (type A) exons 3 and 4, partial"
5698	609	U49973_xpt2_at	"ORF2: function unknown from  Human Tigger1 transposable element, complete consensus sequence./ntype=DNA /annot=CDS"
5699	609	Y00970_at	ACR Acrosin
5700	609	U38268_at	"GB DEF = Cytochrome b pseudogene, partial cds"
5701	609	D25215_at	KIAA0032 gene
5702	609	S79854_at	Type 3 iodothyronine deiodinase
5703	609	K02054_at	GRP Gastrin-releasing peptide
5704	609	D31897_at	Doc2 (Double C2)
5705	609	M64174_at	TYROSINE-PROTEIN KINASE JAK1
5706	609	X05323_at	OX-2 MEMBRANE GLYCOPROTEIN PRECURSOR
5707	609	M25079_s_at	GB DEF = Sickle cell beta-globin mRNA
5708	609	U09850_at	ZNF143 Zinc finger protein 143 (clone pHZ-1)
5709	609	M14306_at	"Beta-A3/A1 crystallin (CYRBA3/A1) mRNA, partial cds"
5710	609	M31774_s_at	TSHR Thyroid stimulating hormone receptor
5711	609	Z22535_at	SERINE/THREONINE-PROTEIN KINASE RECEPTOR R5 PRECURSOR
5712	609	Y13153_at	GB DEF = Kynurenine 3-monooxygenase
5713	609	U90544_at	Sodium phosphate transporter (NPT3) mRNA
5714	609	U22816_at	LAR-interacting protein 1b mRNA
5715	609	U63332_at	"Super cysteine rich protein mRNA, partial cds"
5716	609	X82634_at	Partial mRNA for hair keratin acidic 3-II
5717	609	M94547_at	HUMMLC2At; Homo sapiens; ; 593 base-pairs
5718	609	L27479_at	"X123 mRNA, 3' end"
5719	609	AFFX-ThrX-3_at	AFFX-ThrX-3_at (endogenous control)
5720	609	HG4099-HT4369_s_at	"Adrenergic Receptor, Alpha 1b"
5721	609	S69369_at	PAX3 Paired box homeotic gene 3 (Waardenburg syndrome 1){alternative products}]
5722	609	M75106_at	CPB2 Prepro-plasma carboxypeptidase B
5723	609	X14894_at	MYF5 Myogenic factor 5
5724	609	J05459_at	GSTM3 Glutathione S-transferase M3 (brain)
5725	609	J00287_at	PEPSINOGEN A PRECURSOR
5726	609	U24153_at	P21-activated protein kinase (Pak2) gene
5727	609	X53587_at	ITGB4 Integrin beta-4 subunit
5728	609	L00190_s_at	ANTITHROMBIN-III PRECURSOR
5729	609	X98411_at	GB DEF = Myosin-IE
5730	609	U17977_at	HSU17977 Homo sapiens cDNA
5731	609	M81181_s_at	"ATP1B2 ATPase, Na+/K+ transporting, beta 2 polypeptide"
5732	609	U79289_at	Clone 23695 mRNA sequence
5733	609	U03494_at	Transcription factor LSF mRNA
5734	609	U07882_at	"OPRD1 Opioid receptor, delta 1"
5735	609	M57464_s_at	"RET Ret proto-oncogene (multiple endocrine neoplasia MEN2A, MEN2B and medullary thyroid carcinoma 1, Hirschsprung disease)"
5736	609	X51435_s_at	HIVEP1 Human immunodeficiency virus type I enhancer-binding protein 1
5737	609	M74509_s_at	GB DEF = Endogenous retrovirus type C oncovirus sequence
5738	609	L08488_at	INPP1 Inositol polyphosphate-1-phosphatase
5739	609	AFFX-BioB-5_st	AFFX-BioB-5_st (endogenous control)
5740	609	L10123_at	Surfactant protein A mRNA
5741	609	X67081_at	GB DEF = Histone H4 gene
5742	609	D16583_at	HDC Histidine decarboxylase
5743	609	X59244_f_at	ZNF43 Zinc finger protein 43 (HTF6)
5744	609	S77361_at	"GB DEF = Transcript ch132 [human, RF1,RF48 stomach cancer cell lines, mRNA, 216 nt]"
5745	609	X81636_at	GB DEF = Clathrin light chain a gene
5746	609	U40572_at	Beta2-syntrophin (SNT B2) mRNA
5747	609	HG3454-HT3647_at	Zinc Finger Protein 20
5748	609	J03634_at	"INHBA Inhibin, beta A (activin A, activin AB alpha polypeptide)"
5749	609	U22314_s_at	"Neural-restrictive silencer factor, splice variant mRNA, partial cds"
5750	609	Z48314_s_at	"MUC5B Mucin 5, subtype B, tracheobronchial"
5751	609	X05246_at	"GB DEF = Testis-specific PGK-2 gene for phosphoglycerate kinase (ATP:3-phospho-D-glycerate 1-phosphotransferase, EC 2.7.2.3)"
5752	609	U59111_at	Dermatan sulfate proteoglycan 3 (DSPG3) mRNA
5753	609	U45448_s_at	P2x1 receptor mRNA
5754	609	M10014_cds1_at	Fibrinogen gamma chain and gamma-prime chain genes
5755	609	D17516_at	GB DEF = PACAP receptor
5756	609	S95936_at	TF Transferrin
5757	609	U10886_at	Density enhanced phosphatase-1 mRNA
5758	609	U28727_at	PAPPA Pregnancy-associated plasma protein A
5759	609	X04143_at	BGLAP Bone gamma-carboxyglutamate (gla) protein (osteocalcin)
5760	609	L40394_at	"(clone S194) mRNA, 3' end of cds"
5761	609	X99374_s_at	Fertilin beta mRNA
5762	609	M81882_at	"GAD2 Glutamate decarboxylase 2 (pancreatic islets and brain, 65kD)"
5763	609	HG3928-HT4198_at	Surfacant Protein Sp-A1 Delta
5764	609	U32989_at	Tryptophan oxygenase (TDO) mRNA
5765	609	U18422_at	DP2 (Humdp2) mRNA
5766	609	U52153_at	Inwardly rectifying potassium channel Kir3.2 mRNA
5767	609	U55766_at	Rev interacting protein Rip-1 mRNA
5768	609	U66581_at	GB DEF = Putative G protein-coupled receptor (GPR22) gene
5769	609	HG3987-HT4257_at	"Cpg-Enriched Dna, Clone E06"
5770	609	Z70723_at	SERUM PARAOXONASE/ARYLESTERASE
5771	609	M34353_s_at	ROS1 Transmembrane tyrosine-specific protein kinase ROS1
5772	609	U58522_at	Huntingtin interacting protein (HIP2) mRNA
5773	609	AB000462_at	"SH3 binding protein, clone RES4-23A"
5774	609	U66726_at	Testis specific RNA binding protein (SPGYLA) mRNA
5775	609	X55330_at	AGA Aspartylglucosaminidase
5776	609	S80050_at	"GB DEF = UDP-N-acetylglucosamine: alpha-6-D-mannoside beta-1,6-N-acetylglucosaminyltransferase V|GlcNAc transferase V {5' region} [human, peripheral blood, Genomic, 1972 nt]"
5777	609	M13143_at	KLK3 Plasma prekallikrein
5778	609	M62628_s_at	"GB DEF = Alpha-1 Ig germline C-region membrane-coding region, 3' end"
